date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2010,28,N00000010,0.0,5.0,IN,121.75,85.87799999999999,1.0,0.0,137.764
2012,30,N00000010,0.0,33.0,IN,85.87799999999999,0.0,0.0,0.0,9.0
2006,14,N00003924,0.0,4.0,IN,264.045,176.0,0.0,0.0,325.3040000000001
2008,16,N00003924,0.0,12.0,IN,176.0,251.625,0.0,0.0,389.074
2010,18,N00003924,0.0,3.0,IN,251.625,0.0,0.0,0.0,5.625
2006,14,N00007099,0.0,1.0,CA,182.15,170.175,0.0,0.0,174.225
2008,16,N00007099,0.0,4.0,CA,170.175,369.875,0.0,0.0,233.765
2010,18,N00007099,0.0,1.0,CA,369.875,257.529,0.0,0.0,1010.678
2012,20,N00007099,0.0,2.0,CA,257.529,284.9,0.0,0.0,257.093
2014,22,N00007099,0.0,3.0,CA,284.9,0.0,0.0,0.0,377.82
2006,16,N00008086,0.0,1.0,MI,325.475,630.1419999999998,1.0,0.0,550.955
2008,18,N00008086,0.0,1.0,MI,630.1419999999998,850.9730000000003,0.0,0.0,1046.901
2010,20,N00008086,0.0,3.0,MI,850.9730000000003,1659.259,5.0,0.0,1513.905
2012,22,N00008086,0.0,7.0,MI,1659.259,1613.7079999999999,5.0,2.0,1622.9229999999998
2014,24,N00008086,0.0,12.0,MI,1613.7079999999999,0.0,0.0,7.0,171.7
2006,8,N00007836,0.0,8.0,WA,115.72,6.144,2.0,0.0,1143.744
2012,14,N00007836,0.0,14.0,WA,112.461,1.0,1.0,0.0,332.351
2006,20,N00001955,0.479885547145416,4.0,MD,916.148,94.852,1.0,0.0,2991.505
2012,26,N00001955,0.0,16.0,MD,1102.1960000000001,215.75,4.0,2.0,1023.7460000000001
2006,17,N00012508,0.0,67.0,DE,992.145,89.15,1.0,0.0,652.427
2012,23,N00012508,0.0,21.0,DE,1104.3039999999999,138.96,0.0,0.0,1034.915
2006,14,N00009775,0.0,4.0,DE,207.49900000000002,343.29699999999997,0.0,0.0,316.073
2008,16,N00009775,0.0,6.0,DE,343.29699999999997,690.05,1.0,1.0,326.545
