date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum,unemplag_1,logleg_totalbills,logamtsumlag_1,logamtsumfwd_1,logamtsum,exp_5_9,exp_10_19,exp20,post2009years,amtsum_5to9exp,amtsum_10to19exp,amtsum_exp20,amtsumlag1_5to9exp,amtsumlag1_10to19exp,amtsumlag1_exp20,amtsumfwd1_5to9exp,amtsumfwd1_10to19exp,amtsumfwd1_exp20,amtsum_post2009years,amtsumfwd1_post2009years,amtsumlag1_post2009years,logamtsum_5to9exp,logamtsum_10to19exp,logamtsum_exp20,logamtsumlag1_5to9exp,logamtsumlag1_10to19exp,logamtsumlag1_exp20,logamtsumfwd1_5to9exp,logamtsumfwd1_10to19exp,logamtsumfwd1_exp20,logamtsum_post2009years,logamtsumfwd1_post2009years,logamtsumlag1_post2009years
2006,17,N00000826,0.0,12.0,NJ,293.309,463.424,4.0,0.0,397.272,4.5,2.4849066497880004,5.681226660817769,6.138642401766355,5.984621184625974,0,17,0,2006,0.0,6753.624,0.0,0.0,4986.253000000001,0.0,0.0,7878.208,0.0,796927.632,929628.544,588377.854,0.0,101.73856013864156,0.0,0.0,96.58085323390208,0.0,0.0,104.35692083002805,0.0,12005.150096359703,12314.116657943308,11396.540681600445
2008,19,N00000826,0.0,10.0,NJ,463.424,269.332,0.0,0.0,396.293,4.3,2.302585092994046,6.138642401766355,5.595944819345682,5.982153836654066,0,1,0,2008,0.0,396.293,0.0,0.0,463.424,0.0,0.0,269.332,0.0,795756.344,540818.656,930555.392,0.0,5.982153836654066,0.0,0.0,6.138642401766355,0.0,0.0,5.595944819345682,0.0,12012.164904001365,11236.65719724613,12326.393942746841
2010,21,N00000826,0.0,4.0,NJ,269.332,214.491,1.0,0.0,372.289,9.1,1.3862943611198906,5.595944819345682,5.36826777944585,5.919670434377176,0,0,1,1,0.0,0.0,372.289,0.0,0.0,269.332,0.0,0.0,214.491,372.289,214.491,269.332,0.0,0.0,5.919670434377176,0.0,0.0,5.595944819345682,0.0,0.0,5.36826777944585,5.919670434377176,5.36826777944585,5.595944819345682
2012,23,N00000826,0.0,24.0,NJ,214.491,416.509,0.0,0.0,552.115,9.3,3.1780538303479458,5.36826777944585,6.031908070016891,6.3137563579120535,0,0,1,1,0.0,0.0,552.115,0.0,0.0,214.491,0.0,0.0,416.509,552.115,416.509,214.491,0.0,0.0,6.3137563579120535,0.0,0.0,5.36826777944585,0.0,0.0,6.031908070016891,6.3137563579120535,6.031908070016891,5.36826777944585
2006,14,N00008091,0.0,3.0,AL,452.256,481.3,0.0,0.0,631.145,4.5,1.0986122886681098,6.114248391185741,6.1764907763090635,6.447535630120434,0,1,0,2006,0.0,631.145,0.0,0.0,452.256,0.0,0.0,481.3,0.0,1266076.8699999999,965487.8,907225.536,0.0,6.447535630120434,0.0,0.0,6.114248391185741,0.0,0.0,6.1764907763090635,0.0,12933.756474021591,12390.04049727598,12265.182272718595
2008,16,N00008091,0.0,1.0,AL,481.3,482.051,0.0,0.0,461.4,4.0,0.0,6.1764907763090635,6.17804991758184,6.134265345739653,0,1,0,2008,0.0,461.4,0.0,0.0,481.3,0.0,0.0,482.051,0.0,926491.2,967958.4079999999,966450.4,0.0,6.134265345739653,0.0,0.0,6.1764907763090635,0.0,0.0,6.17804991758184,0.0,12317.604814245224,12405.524234504335,12402.393478828599
2010,18,N00008091,0.0,1.0,AL,482.051,740.304,1.0,0.0,562.89,11.0,0.0,6.17804991758184,6.607060912649368,6.333084227167393,0,1,0,1,0.0,562.89,0.0,0.0,482.051,0.0,0.0,740.304,0.0,562.89,740.304,482.051,0.0,6.333084227167393,0.0,0.0,6.17804991758184,0.0,0.0,6.607060912649368,0.0,6.333084227167393,6.607060912649368,6.17804991758184
2012,20,N00008091,0.0,1.0,AL,740.304,291.231,2.0,0.0,860.8589999999997,9.6,0.0,6.607060912649368,5.674116766700444,6.757930727950893,0,0,1,1,0.0,0.0,860.8589999999997,0.0,0.0,740.304,0.0,0.0,291.231,860.8589999999997,291.231,740.304,0.0,0.0,6.757930727950893,0.0,0.0,6.607060912649368,0.0,0.0,5.674116766700444,6.757930727950893,5.674116766700444,6.607060912649368
2014,22,N00008091,0.0,2.0,AL,291.231,0.0,0.0,0.0,1.0,7.2,0.6931471805599453,5.674116766700444,0.0,0.0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,291.231,0.0,0.0,0.0,1.0,0.0,291.231,0.0,0.0,0.0,0.0,0.0,5.674116766700444,0.0,0.0,0.0,0.0,0.0,5.674116766700444
2006,20,N00005407,0.0,9.0,LA,390.034,336.031,0.0,2.0,463.219,7.2,2.1972245773362196,5.966233914810961,5.817203417612099,6.138199944415803,0,0,1,2006,0.0,0.0,463.219,0.0,0.0,390.034,0.0,0.0,336.031,929217.314,674078.186,782408.204,0.0,0.0,6.138199944415803,0.0,0.0,5.966233914810961,0.0,0.0,5.817203417612099,12313.2290884981,11669.31005572987,11968.265233110787
2006,14,N00002017,0.0,3.0,MD,58.7,57.9,0.0,0.0,85.428,4.1,1.0986122886681098,4.072439726834051,4.05871738457895,4.4476739159097365,0,1,0,2006,0.0,85.428,0.0,0.0,58.7,0.0,0.0,57.9,0.0,171368.568,116147.4,117752.20000000001,0.0,4.4476739159097365,0.0,0.0,4.072439726834051,0.0,0.0,4.05871738457895,0.0,8922.033875314932,8141.787073465373,8169.314092029106
2008,16,N00002017,0.0,3.0,MD,57.9,54.5,1.0,0.0,87.521,3.5,1.0986122886681098,4.05871738457895,3.9982007016691985,4.471878764568176,0,1,0,2008,0.0,87.521,0.0,0.0,57.9,0.0,0.0,54.5,0.0,175742.168,109436.0,116263.2,0.0,4.471878764568176,0.0,0.0,4.05871738457895,0.0,0.0,3.9982007016691985,0.0,8979.532559252897,8028.38700895175,8149.904508234531
2010,18,N00002017,0.0,1.0,MD,54.5,84.1,0.0,0.0,98.23,7.0,0.0,3.9982007016691985,4.432006566978902,4.5873116676867784,0,1,0,1,0.0,98.23,0.0,0.0,54.5,0.0,0.0,84.1,0.0,98.23,84.1,54.5,0.0,4.5873116676867784,0.0,0.0,3.9982007016691985,0.0,0.0,4.432006566978902,0.0,4.5873116676867784,4.432006566978902,3.9982007016691985
2006,22,N00005656,0.0,15.0,TX,801.862,602.197,0.0,1.0,1074.494,5.4,2.70805020110221,6.686936523235367,6.400584634301581,6.97960513207442,0,0,1,2006,0.0,0.0,1074.494,0.0,0.0,801.862,0.0,0.0,602.197,2155434.9639999997,1208007.182,1608535.172,0.0,0.0,6.97960513207442,0.0,0.0,6.686936523235367,0.0,0.0,6.400584634301581,14001.087894941287,12839.572776408972,13413.994665610147
